Player,Pos,AST
Will Barton,SG,276
Seth Curry,SG,460
Malik Monk,SG,218
Donovan Mitchell,SG,358
Cade Cunningham,SG,356
Buddy Hield,SG,458
Anthony Edwards,SG,275
Anfernee Simons,SG,221
Zavier Simpson,PG,30
Tyus Jones,PG,324
Tyrese Maxey,PG,321
Tyrese Haliburton,PG,249
Tyrell Terry,PG,0
Tyler Johnson,PG,14
Trey Burke,PG,57
Trent Forrest,PG,106
Tremont Waters,PG,14
Tre Mann,PG,91
Tre Jones,PG,233
Tomáš Satoranský,PG,108
Tim Frazier,PG,68
Théo Maledon,PG,111
T.J. McConnell,PG,131
Sharife Cooper,PG,5
Shai Gilgeous-Alexander,PG,331
Saben Lee,PG,107
Ryan Arcidiacono,PG,4
Russell Westbrook,PG,550
Ricky Rubio,PG,225
Raul Neto,PG,217
Payton Pritchard,PG,139
Patrick Beverley,PG,268
Myles Powell,PG,3
Mychal Mulder,PG,10
Monte Morris,PG,333
Miles McBride,PG,41
McKinley Wright IV,PG,3
Markelle Fultz,PG,99
Malik Newman,PG,1
Malcolm Brogdon,PG,212
Malachi Flynn,PG,70
Mac McClung,PG,0
Lou Williams,PG,105
Lonzo Ball,PG,178
Lindell Wigginton,PG,23
Lance Stephenson,PG,154
Kyrie Irving,PG,167
Kyle Lowry,PG,474
Kris Dunn,PG,79
Kira Lewis Jr.,PG,49
Killian Hayes,PG,277
Kevin Pangos,PG,30
Kemba Walker,PG,131
Keifer Sykes,PG,62
Justin Robinson,PG,64
Jrue Holiday,PG,457
Jose Alvarado,PG,152
Jordan McLaughlin,PG,180
Jevon Carter,PG,192
Jeff Dowtin,PG,20
Jaysean Paige,PG,1
Javonte Smart,PG,32
Jared Harper,PG,14
JaQuori McLaughlin,PG,2
Jalen Suggs,PG,209
Ish Smith,PG,488
Isaiah Thomas,PG,68
Immanuel Quickley,PG,275
Hassani Gravett,PG,20
Goran Dragić,PG,172
George Hill,PG,120
Gabe Vincent,PG,210
Frank Jackson,PG,55
Facundo Campazzo,PG,220
Eric Bledsoe,PG,225
Emmanuel Mudiay,PG,4
Elfrid Payton,PG,99
Duane Washington Jr.,PG,85
Devonte' Graham,PG,316
Devon Dotson,PG,15
Devin Cannady,PG,10
Derrick Walton,PG,21
Derrick Rose,PG,103
Dennis Smith Jr.,PG,132
De'Aaron Fox,PG,330
Davion Mitchell,PG,313
David Duke Jr.,PG,17
Darren Collison,PG,2
Damian Lillard,PG,212
Dalano Banton,PG,99
D'Angelo Russell,PG,460
D.J. Augustin,PG,214
Cory Joseph,PG,237
Coby White,PG,176
Chris Chiozza,PG,65
Cat Barber,PG,3
Cassius Winston,PG,7
Carlik Jones,PG,10
Cameron Payne,PG,282
Brandon Williams,PG,94
Brandon Knight,PG,8
Brandon Goodwin,PG,91
Brad Wanamaker,PG,110
Armoni Brooks,PG,13
Aaron Holiday,PG,306
Wendell Carter Jr.,PF,171
Trey Lyles,PF,176
Tobias Harris,PF,252
Thaddeus Young,PF,208
Scottie Barnes,PF,256
Robert Covington,PF,184
Paul George,PF,176
Pascal Siakam,PF,360
Miles Bridges,PF,300
Kyle Kuzma,PF,233
Kyle Anderson,PF,183
Kristaps Porziņģis,PF,238
Kevin Durant,PF,351
Justise Winslow,PF,168
Julius Randle,PF,370
Jae'Sean Tate,PF,222
Herbert Jones,PF,167
Harrison Barnes,PF,186
Giannis Antetokounmpo,PF,388
Evan Mobley,PF,174
Draymond Green,PF,320
Dorian Finney-Smith,PF,150
Domantas Sabonis,PF,646
DeMar DeRozan,PF,374
Aaron Gordon,PF,188
